"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"2","trend",0.374774084171524,106111289.763592,0.367256972425851,675868.087666194,0.196046530921721,106111289.763592,0.367256972425851,675868.087666194,0.196046530921721,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"3","season",0.330680145024314,113365.64569809,0.000392364694736444,722.074176420956,0.000209449358445524,113365.64569809,0.000392364694736444,722.074176420956,0.000209449358445524,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.792646699174704,2214271.53632111,0.00766371478821706,69195.9855100347,0.0200714209777159,2214271.53632111,0.00766371478821706,69195.9855100347,0.0200714209777159,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_b",0.171521148911308,149435559.036039,0.517204635874387,951818.847363309,0.27609053674339,149435559.036039,0.517204635874387,951818.847363309,0.27609053674339,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"6","events",0.964315292241363,1562031.18911298,0.00540627530422511,1562031.18911298,0.453092550758774,1562031.18911298,0.00540627530422511,1562031.18911298,0.453092550758774,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"7","tv_s",373615.649461396,8979003.1025479,0.0310768204042271,57191.1025639994,0.0165892094357886,8979003.1025479,0.0310768204042271,57191.1025639994,0.0165892094357886,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,7774236.44,49517.4295541401,55661.8622958851,6144.432741745,24056.8739602383,0.206047362680601,0.350096237294026,0.485826388341414,1.1549691306466,0.86582400643051,6,FALSE,0.88129849758702,0.0427766243059881,0.507722299543821,1.25550846527082,0.197587231802631
"8","ooh_s",190476.133472327,10143299.9208446,0.0351065153164778,64607.0058652524,0.0187403127981058,10143299.9208446,0.0351065153164778,64607.0058652524,0.0187403127981058,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,24719081.6,157446.379617834,163821.251874438,6374.87225660399,65010.274425402,0.655151359349006,0.395492806436922,0.412904219094779,0.410342911803189,2.43698616750964,6,FALSE,0.428992225675295,0.00448131401561765,0.3896713302245,0.468010018223503,0.734726375130788
"9","print_s",149657.350462097,3362710.61920651,0.0116385252116478,21418.5389758376,0.00621279557394714,3362710.61920651,0.0116385252116478,21418.5389758376,0.00621279557394714,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,1804904.93333333,11496.2097664544,12620.2191523147,1124.00938586031,8064.25488418327,0.0478369682055284,0.131113924502242,0.701470749752197,1.86309569944839,0.536741081145791,6,FALSE,1.80792328327908,0.00895682442607878,1.72912072507854,1.88569664716994,0.00889866700552011
"10","facebook_s",177175.745301913,2355808.57244651,0.00815358220467531,15005.1501429714,0.00435248783774802,2355808.57244651,0.00815358220467531,15005.1501429714,0.00435248783774802,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,1002234.0659765,6383.65647118789,6384.91594930758,1.25947811969036,7006.12191470373,0.0265630827769259,0.0918542635055445,1.0975092325731,2.35055727241839,0.42543102937081,6,FALSE,1.80572136136196,0.0976526949565969,0.94930117181537,2.6563861865691,0.00277179865541856
