"","ds","dep_var","trend","season","holiday","competitor_sales_b","events","tv_s","ooh_s","print_s","facebook_s","search_s","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,663089.239214583,234321.188120535,0,1196251.61229026,0,13468.4504837793,103596.67473219,4712.76975225232,21816.6372779253,880.17925418429,19118.3360605243,0,2257255.08718623,"2_463_3",6,FALSE
"2",2016-01-11,2464131.66666667,663360.103156124,182614.120113304,0,1278205.44636698,0,3045.8278288451,81011.5373857953,133222.679048928,26399.5073391393,1261.53106253253,14354.6712280874,0,2383475.42352973,"2_463_3",6,FALSE
"3",2016-01-18,2012520,663630.96706949,123498.921087102,-83044.6146215902,1149803.34212278,0,209.120599873765,59952.4563484967,2077.83373729681,21324.9016929696,561.98591025802,13392.2986493409,0,1951407.21259602,"2_463_3",6,FALSE
"4",2016-01-25,1738911.66666667,663901.830982855,82975.9904335333,0,949437.138556759,0,14.2561745143957,42254.5602265057,75064.6863032662,15181.215768033,504.965134996509,8566.37881532973,0,1837901.02239579,"2_463_3",6,FALSE
"5",2016-02-01,1772306.66666667,664172.694896221,63265.5621764172,0,939952.70510656,0,19175.9614658787,62770.1370380182,261.12397938833,28.9196025544926,379.754087883013,3715.05637316879,0,1753721.91472609,"2_463_3",6,FALSE
"6",2016-02-08,1809058.33333333,664443.558809586,48358.1545124893,0,1007261.89196808,0,1372.21277693151,44524.2000473945,12081.3294670745,18873.2474645431,348.958007701713,2926.00319112482,0,1800189.55624493,"2_463_3",6,FALSE
"7",2016-02-15,1952740,664714.422722952,22119.9663600155,-4718.98245266557,998754.957545526,0,224718.59283513,30322.649726376,3109.36236594214,4021.78125985601,0.56364559990483,7763.50937166923,0,1950806.8233804,"2_463_3",6,FALSE
"8",2016-02-22,1507805,664985.286636317,-19771.3320889978,0,862257.91267846,0,34837.5662326734,20029.2344283624,5.51494388010841,7.16845306208508,0.000905819331269438,10428.6068783815,0,1572779.95906796,"2_463_3",6,FALSE
"9",2016-02-29,1510391.66666667,665256.15056884,-69014.585871897,0,782396.808139611,0,151278.016445052,12947.5617352275,0.00957909865620546,9006.40031569882,152.954154834162,834.047397127282,0,1552857.36246359,"2_463_3",6,FALSE
"10",2016-03-07,1588840,665527.014501364,-110151.213589723,0,856955.850923314,0,16553.3700426243,8248.56312363383,110338.556605451,16.5280229907402,362.386248000497,1016.16773849944,0,1548867.22361616,"2_463_3",6,FALSE
"11",2016-03-14,1605990,665797.878433887,-129538.750338528,0,847079.491647852,0,45242.2771172381,60408.7834694746,725.907163209257,0.0287948018797426,250.609061992188,540.459788349006,0,1490506.68513828,"2_463_3",6,FALSE
"12",2016-03-21,1356010,666068.742366411,-126468.881493218,0,775341.285679144,0,3474.74716069972,42620.1663406053,1.26694170255068,5.0161083256152e-05,219.333679259017,725.089243254041,0,1361981.74996802,"2_463_3",6,FALSE
"13",2016-03-28,2103936.66666667,666339.606298934,-118458.59904909,0,773031.753409053,0,238.826817802395,71601.3676238976,92421.5883215126,51020.5359262108,280.165159724307,1407.55905468584,0,1537882.80356273,"2_463_3",6,FALSE
"14",2016-04-04,1120835,666610.470231457,-130482.530408907,0,641232.50128952,0,16.2825145532385,51830.2330733542,418.557624395736,143.572918875369,138.89548942615,1577.20364589366,0,1231485.18637857,"2_463_3",6,FALSE
"15",2016-04-11,1141140,666881.334163981,-172146.847543881,0,646450.517681699,0,1.10947806316291,73102.6830153889,0.729015964344004,0.250309151146304,120.111390979359,344.610853041192,0,1214754.49836439,"2_463_3",6,FALSE
