"","facebook_s_alphas","facebook_s_gammas","facebook_s_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_s_alphas","ooh_s_gammas","ooh_s_thetas","print_s_alphas","print_s_gammas","print_s_thetas","search_s_alphas","search_s_gammas","search_s_thetas","tv_s_alphas","tv_s_gammas","tv_s_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.054585,0.7223807,0.0454125,2.8108825,0.8732069,0.3833881,0.516903975,0.3790258,0.3974092,2.8504825,0.4105825,0.10756261,2.93994,0.9601294,0.1121118,2.3767325,0.36048245,0.32296055,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,1,0.651306867599487,384.063664913177,"2_463_3",2,463,3,1389,FALSE,TRUE,1,0.0560262141996571,6,FALSE
"2",2.521455,0.93231,0.02486502,2.97356,0.9526793,0.3917044,0.5138444,0.33892581,0.3983167,2.71769,0.3763791,0.1645603,2.59557,0.9081572,0.157089,1.927255,0.6561768,0.3080743,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,1,0.655025005340576,457.348057985306,"2_546_2",2,546,2,1637,FALSE,TRUE,1,0.0368963458633977,3,FALSE
"3",1.8840775,0.7959493,0.01051905,2.87157,0.8211129,0.350311,0.502465405,0.32180325,0.3969004,2.9242975,0.4567328,0.1601035,2.7085475,0.9581491,0.1001286,2.3329475,0.5116674,0.3174105,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,1,0.632248163223267,483.394474983215,"2_576_2",2,576,2,1727,FALSE,TRUE,1,0.0412239218613301,6,FALSE
"4",2.602755,0.6613967,0.0451626,2.815865,0.8945282,0.3733171,0.512420425,0.33442551,0.3964411,2.85724,0.4743707,0.1516294,2.7452075,0.9472998,0.1094373,2.1568925,0.6317825,0.3228857,1,0.899667237346189,NA,NA,0.0707060473312653,NA,NA,0.0707060473312653,0.252574783973185,0,65171.1331815215,0.000895356,65481090.2533626,1e-04,1,0.636299848556519,485.793931007385,"2_579_1",2,579,1,1735,FALSE,TRUE,1,0.0346979153491549,6,FALSE
"5",2.84381,0.32851457,0.063141,2.314725,0.9802621,0.3687712,0.51646285,0.32086833,0.3802606,2.969505,0.4109703,0.1344085,2.8581875,0.9321189,0.0927519,1.01227,0.35028457,0.34543465,1,0.905354678976654,NA,NA,0.0686727989469098,NA,NA,0.0686727989469098,0.524689960870536,0,13134.6515414302,0.000100597,65481090.2533626,1e-04,1,0.842964887619019,518.358510971069,"2_615_3",2,615,3,1845,FALSE,TRUE,1,0.125595705910542,1,FALSE
"6",2.8697925,0.7304657,0.01841295,2.778955,0.9000687,0.3518266,0.507416125,0.34444377,0.3934945,2.841095,0.3829178,0.12175282,2.8622325,0.9176415,0.0306636,2.4277575,0.5870056,0.32513045,1,0.898971203105331,NA,NA,0.070950876493745,NA,NA,0.070950876493745,0.231667474226939,0,70207.7623359746,0.000972281,65481090.2533626,1e-04,1,0.839163780212402,520.367683887482,"2_617_1",2,617,1,1849,FALSE,TRUE,1,0.0278475629940013,3,FALSE
"7",2.66841,0.9815473,0.009045,2.834845,0.9649055,0.3726724,0.5112003,0.306379492,0.3992704,2.768235,0.6560263,0.12035935,2.8187025,0.8655902,0.00482712,2.4125125,0.6599148,0.3389246,1,0.897403934520448,NA,NA,0.0714990921309637,NA,NA,0.0714990921309637,0.199432610229844,0,79209.136915436,0.00110976,65481090.2533626,1e-04,1,0.877073049545288,537.925690889359,"2_638_2",2,638,2,1913,FALSE,TRUE,1,0.0176770737247646,5,TRUE
"8",2.2836975,0.4783649,0.2282301,2.778955,0.9000687,0.3518266,0.507416125,0.34444377,0.3934945,2.841095,0.4343034,0.149965,2.7354375,0.8871138,0.0896298,2.15456,0.31399727,0.312568,1,0.904783348270839,NA,NA,0.0688797602923711,NA,NA,0.0688797602923711,0.36926717284007,0,7828.57500369042,1.95567e-05,65481090.2533626,1e-04,1,0.656038999557495,546.578481912613,"2_647_1",2,647,1,1939,FALSE,TRUE,1,0.0735246680394172,1,FALSE
"9",2.914545,0.4791335,0.1248705,2.524265,0.8908588,0.3741844,0.505638075,0.301839649,0.3889447,2.701915,0.4779141,0.10993726,2.7729575,0.995506,0.1558158,2.20269,0.33804794,0.34617785,1,0.903687912184645,NA,NA,0.0692748466379969,NA,NA,0.0692748466379969,0.340073546672074,0,32738.318730324,0.000400006,65481090.2533626,1e-04,1,0.641335010528564,553.080666065216,"2_655_1",2,655,1,1963,FALSE,TRUE,1,0.0637552824503609,1,FALSE
"10",2.2836975,0.3707224,0.255945,2.73439,0.9588008,0.3702316,0.515380125,0.35454162,0.3931273,2.78745,0.4484133,0.1431856,2.764765,0.8784345,0.0970767,2.0137125,0.31399727,0.312568,1,0.90498691703566,NA,NA,0.068806090036367,NA,NA,0.068806090036367,0.395499465026567,0,7828.57500369042,1.95567e-05,65481090.2533626,1e-04,1,0.635653972625732,554.685809850693,"2_657_1",2,657,1,1969,FALSE,TRUE,1,0.0823126215214684,1,FALSE
"11",2.5463125,0.9466558,0.052965,2.924735,0.8259982,0.3582793,0.517171325,0.304678443,0.3874243,2.510715,0.4363803,0.10512763,2.79801,0.9383174,0.1191009,2.35101,0.4381709,0.3337763,1,0.900686949811161,NA,NA,0.0703458261734883,NA,NA,0.0703458261734883,0.271644402046972,0,75092.0977054,0.00104688,65481090.2533626,1e-04,1,0.646519899368286,554.710701942444,"2_657_3",2,657,3,1971,FALSE,TRUE,1,0.0409710952889102,3,FALSE
"12",2.3953575,0.4109479,0.1193826,2.3192875,0.9804868,0.3801784,0.5262565,0.31401617,0.3882646,2.664665,0.4271872,0.1098376,2.837475,0.6490613,0.2176509,1.26147,0.3784175,0.303752125,1,0.905927885154025,NA,NA,0.0686836165725849,NA,NA,0.0686836165725849,0.435509743298513,0,13406.2399422449,0.000104745,65481090.2533626,1e-04,1,0.622067213058472,555.496434926987,"2_658_3",2,658,3,1974,FALSE,TRUE,1,0.0957170520554227,1,FALSE
"13",2.7237225,0.9505933,0.0537516,2.652325,0.6853717,0.3790177,0.507447375,0.31490951,0.3775765,2.7217775,0.4724702,0.101139655,2.92035,0.9169534,0.0767595,2.567595,0.8215252,0.3192569,1,0.894276531111111,NA,NA,0.0725806538805167,NA,NA,0.0725806538805167,0.167317456188706,0,165820.170754808,0.00243258,65481090.2533626,1e-04,1,0.621335983276367,503.850306272507,"4_603_3",4,603,3,1809,FALSE,TRUE,1,0.0101746441841952,3,FALSE
"14",2.7428525,0.8691518,0.1222479,2.6750775,0.807178,0.3894262,0.5105159,0.301613955,0.3933826,1.9056325,0.6149538,0.10520929,2.79938,0.9808599,0.1766775,2.7301425,0.7290706,0.32214225,1,0.895269004544539,NA,NA,0.0722391770806954,NA,NA,0.0722391770806954,0.182708166429757,0,129924.407769597,0.00188434,65481090.2533626,1e-04,1,0.634367942810059,505.429716110229,"4_605_3",4,605,3,1815,FALSE,TRUE,1,0.0133797349791798,3,FALSE
"15",2.7237225,0.8954228,0.00736926,2.64534,0.8049338,0.3659482,0.513345775,0.31545985,0.3985996,2.99029,0.5776424,0.11169037,2.79168,0.9169534,0.0767595,2.567595,0.8215252,0.3192569,1,0.894111341754421,NA,NA,0.0726373341615663,NA,NA,0.0726373341615663,0.149818609708781,0,165820.170754808,0.00243258,65481090.2533626,1e-04,1,0.807878017425537,512.79211807251,"4_613_3",4,613,3,1839,FALSE,TRUE,1,0.00843634835646784,2,FALSE
"16",2.990615,0.7590495,0.0810345,2.740865,0.8014597,0.3884866,0.51110155,0.301269443,0.388759,2.8339875,0.5806769,0.11200825,2.74689,0.9050961,0.1789668,2.2117925,0.6594745,0.30263293,1,0.897218202352659,NA,NA,0.0715637811451833,NA,NA,0.0715637811451833,0.199222019432067,0,141196.504945166,0.0020565,65481090.2533626,1e-04,1,0.629789113998413,516.52939915657,"4_617_2",4,617,2,1850,FALSE,TRUE,1,0.0176582279730394,2,TRUE
